"Date","FX_Implied_Vol","FX_25_Delta_Rate","CDS","BIST100_Vol","Benchmark_Rate_Vol","FCI"
2018-08-08,0.466382492934575,0.00560236379486066,-0.0345219517797011,-0.0630941310431547,0.127178566913602,0.501547340820181
2018-08-09,0.609039044637968,0.0579217111701658,0.0198105568089721,-0.212562419795824,0.127178566913602,0.601387459734884
2018-08-10,0.835854419537878,0.418751830105506,0.168397309687673,0.475241868643901,0.371608270717063,2.26985369869202
2018-08-13,1.68454985216276,0.983454025850271,0.507553551322882,1.0004271101651,0.443474473773009,4.61945901327402
2018-08-14,2.25859298237043,1.61577362375844,0.722351963413586,1.16711194736721,0.973537077406661,6.73736759431633
2018-08-15,2.60923766107228,1.88858893414624,0.845541351913173,0.957659332515033,0.603534161207635,6.90456144085436
2018-08-16,2.15307838796083,1.86951735917708,0.690479488243886,0.857095913714185,0.492946142070597,6.06311729116657
2018-08-17,2.01383875965153,1.69613940491193,0.677172243010101,0.882696034634607,-0.0371164615630549,5.23272998064511
2018-08-20,1.93439529073886,1.51511242325274,0.668976927347831,0.387222651902186,-0.0371164615630549,4.46859083167856
2018-08-27,1.90364298019202,1.27921641842022,0.688791740067894,0.024888043677287,-0.0718978834505322,3.82464129890689
2018-08-28,1.71571219351689,1.11603716734715,0.663654029254317,-0.16298638994026,-0.0718978834505322,3.26051911672756
2018-08-29,1.57561833435907,1.02424883861854,0.665812399517846,-0.110203286272813,-0.0718978834505322,3.08357840277211
2018-08-31,1.63285180121013,1.26014484345106,0.838530705643667,-0.0718994467195837,-0.0892627566999763,3.57036514688529
2018-09-03,1.7490271966093,1.43862214931223,0.993349144095262,-0.0929279379821175,-0.0892627566999763,3.9988077953347
2018-09-04,1.7891760464899,1.60945042777936,1.10498394892844,-0.0130686102848916,-0.0892627566999763,4.40127905621283
2018-09-05,1.79173873903547,1.59027686577827,1.08151775794301,-0.0737206780124984,-0.0892627566999763,4.30054992804428
2018-09-06,1.71400373181984,1.61189811654546,1.02822386361649,-0.0454295241545625,-0.0892627566999763,4.21943343112725
2018-09-07,1.66360411175697,1.60169941335339,0.937815737765979,-0.117308738103301,-0.0892627566999763,3.99654776807306
2018-09-10,1.57134718011645,1.54560654579702,0.855781439404049,-0.00318971145265842,-0.0892627566999763,3.88028269716488
2018-09-11,1.52607294514472,1.47676529925056,0.819283885098217,0.00424604111347675,-0.0892627566999763,3.737105413907
2018-09-12,1.44662947623205,1.39007632211799,0.798544056550928,0.0337140169249856,-0.0396753646400658,3.62928850718589
2018-09-13,1.28347138416409,1.19120160987268,0.692637858507415,-0.0458722261953915,0.136390486673888,3.25782911302269
2018-09-14,1.13398098567251,1.04209656920466,0.536943089272131,0.00522344063827309,0.149361214384508,2.86760529917208
2018-09-17,1.0126802051822,0.927361158293901,0.398060888405386,-0.0195310782397274,0.219085807866839,2.5376569815086
2018-09-18,1.00584635839402,0.901864400313733,0.369904704892438,-0.109784162264485,-0.0503505735681177,2.11748072776759
2018-09-19,0.983636356332411,0.785905145019928,0.360622089924481,-0.184488123200127,-0.0892627566999763,1.85641271137672
2018-09-20,0.974239816998655,0.649548483341989,0.321463086571892,-0.106074067831671,-0.0892627566999763,1.74991456238089
2018-09-21,0.952029814937049,0.629151076957854,0.263657711544158,-0.126268389852393,-0.0892627566999763,1.62930745688669
2018-09-24,0.915297888450546,0.607427839158751,0.166985443425064,-0.0978801324082272,-0.0883038659542605,1.50352717267187
2018-09-25,0.8879625012978,0.626499414127916,0.132094495555994,-0.105405683459501,-0.0883038659542605,1.45284686156795
2018-09-26,0.834145957840831,0.58315492556163,0.089706050982035,0.0274805110362054,-0.0883038659542605,1.44618357946644
2018-09-27,0.774349798444199,0.590803952955681,0.100871154300138,-0.00738436734511534,-0.0651240139692873,1.39351652438562
2018-09-28,0.654757479650935,0.474742710629955,0.0891218304595764,-0.0278024660756808,-0.0315764474297019,1.15924310723508
2018-10-01,0.550541316131091,0.347258920729114,0.0934223426387873,-0.0117844511214946,-0.0315764474297019,0.947861680947797
2018-10-02,0.484765540794796,0.275867998384643,0.134788401298443,0.0773017078637141,-0.0212091217196746,0.951514526621922
2018-10-03,0.474514770612517,0.282293181395646,0.175083389000258,0.0806648070305083,-0.05475668825926,0.957799459779669
2018-10-04,0.547124392736998,0.419975674488554,0.242090237256719,0.185971755944209,-0.0442895696722715,1.35087249075421
2018-10-05,0.624005169104097,0.458220811458806,0.282547508436994,0.2039727090991,-0.0787956381129877,1.48995055998601
2018-10-08,0.732492486866557,0.509214327419143,0.317308629523296,0.112109194137229,-0.0787956381129877,1.59232899983324
2018-10-09,0.758119412322257,0.458220811458806,0.314095416649772,-0.0502464023581904,0.0496096878099328,1.52979892588258
2018-10-10,0.783746337777956,0.458220811458806,0.30789618777257,0.0904719534370786,0.0496096878099328,1.68994497825634
2018-10-11,0.7743497984442,0.448022108266739,0.2912134461868,0.103855571264366,0.0835730394460476,1.70101396360815
2018-10-12,0.714553639047568,0.458220811458806,0.257085230666496,0.245487323567786,-0.0543684615080566,1.6209785432326
2018-10-15,0.620588245710003,0.348584752144083,0.214420904179154,-0.016961031897142,-0.0543684615080566,1.11226440862804
2018-10-16,0.529185544918009,0.282293181395646,0.180033035093312,0.00279178878275877,-0.0883318131441714,0.905971737045554
2018-10-17,0.45999284618762,0.0910674965443845,0.158757671067102,-0.118055327307505,-0.0892627566999763,0.502499929791625
2018-10-18,0.450186276046573,0.0655707385642164,0.157637915065723,0.057737425483004,-0.0719957183934003,0.659136636766115
2018-10-19,0.445060890955433,0.0349746289880147,0.163398978551081,0.139189058987644,-0.0370072460353386,0.745616311446834
2018-10-22,0.446769352652479,0.0375243047860314,0.175440412652871,0.279095467096062,-0.0370072460353386,0.901822291152105
2018-10-23,0.471952078066947,-0.00582018378025451,0.196748233374773,0.282032060030154,-0.0284157050951136,0.916496482596505
2018-10-24,0.471097847218423,-0.0223420829514036,0.209747139999483,0.25837113473708,-0.0557174597680078,0.861156579235575
2018-10-25,0.471952078066947,0.0363004604029834,0.207004549213495,0.0387790348876761,-0.0345875755176384,0.719448547053463
2018-10-26,0.422406688852594,0.0184527298168656,0.191360421889875,0.213858096149108,-0.0604461547644393,0.785631781944004
2018-10-30,0.382257838971999,-0.0746614303267086,0.160088395590481,0.337728939542171,-0.0681328724496068,0.737280871328335
2018-10-31,0.390800147457232,-0.123105270489028,0.155349718019425,0.429768831331917,-0.02286765309916,0.829945773220386
2018-11-01,0.411301687821792,-0.0925091609128263,0.143681535918094,0.10853444593939,-0.0128563625943353,0.558152146172115
2018-11-02,0.429240535640781,-0.0364162933564562,0.129546644944159,-0.138708893873716,-0.0128563625943353,0.370805630760432
2018-11-05,0.381403608123475,-0.118005918892995,0.0961000200333902,-0.190850674249783,-0.0140768608222916,0.154570174191797
2018-11-06,0.33356668060617,-0.140953001075146,0.0602191429457091,-0.023599172987254,0.0689521100636436,0.298185759553123
2018-11-07,0.298543215816714,-0.133303973681096,0.0348217785665953,0.0159106427877756,0.0689521100636436,0.284923773553633
2018-11-08,0.283167060543295,-0.0814945614653938,0.030245384474001,0.172656108761645,0.0581279388125477,0.462701931126094
2018-11-09,0.278041675452155,-0.0942429404554778,0.0370126055258159,0.0943995557476122,0.0068924720981716,0.322103368368277
2018-11-12,0.256685904239072,-0.253546684315569,0.0508716145863677,0.217451936159336,0.0103114677898628,0.281774238459069
2018-11-13,0.231058978783372,-0.370321835864739,0.0601866862500172,0.0126935323975256,-0.0440389663319013,-0.110421604765725
2018-11-14,0.192618590599823,-0.427740534836078,0.0596673791189426,-0.0476424904774557,-0.0858437610082851,-0.308940816603052
2018-11-15,0.153323971567751,-0.380622526088727,0.0620204895566242,-0.124423056297772,-0.0892627566999763,-0.3789638779621
2018-11-16,0.143073201385471,-0.307191863105842,0.0635784109498477,-0.041615845044814,-0.0892627566999763,-0.231418852515314
2018-11-19,0.124280122717958,-0.41295241520758,0.0731369078311883,-0.102848792011835,-0.0892627566999763,-0.407646933370245
2018-11-20,0.144781663082518,-0.435083601134366,0.119696037801589,0.0923224941570223,0.208483463185481,0.130200057092245
2018-11-21,0.160157818355937,-0.453747227975849,0.14895574896807,0.0333307113236931,0.208483463185481,0.097180513857333
2018-11-22,0.185784743811637,-0.354309871853193,0.175505326044256,0.123179878307351,0.208483463185481,0.338643539495532
2018-11-23,0.17895089702345,-0.439265069443114,0.175391727609333,-0.0999194834419634,-0.0892627566999763,-0.27410468495227
2018-11-26,0.166991665144124,-0.476184374998397,0.187141051449895,-0.141696732162117,-0.0892627566999763,-0.353011147266472
2018-11-27,0.127697046112052,-0.532277242554767,0.218916156532518,-0.142626489175925,-0.0684859641977971,-0.39677649328392
2018-11-28,0.0926735813225956,-0.468535347604347,0.22647856662879,-0.200480043961905,-0.0269323791934392,-0.376795622808305
2018-11-29,0.0542331931390464,-0.480059882211383,0.218867471488979,-0.193493695978246,-0.0269323791934392,-0.427385292755042
2018-11-30,0.0653381941698496,-0.455888955646183,0.188423090929735,-0.217578822975739,-0.0477091716956184,-0.467415665217956
2018-12-03,0.0721720409580361,-0.504332795808503,0.163674860464464,-0.0775771737787818,-0.0892627566999763,-0.435325824864761
2018-12-04,0.104632813201922,-0.527279877990654,0.19316176850079,0.0231580569842516,-0.0892627566999763,-0.295589996003667
2018-12-05,0.135385123748761,-0.548901128757837,0.189786272148805,-0.0208667017375306,-0.0892627566999763,-0.333859191297777
2018-12-06,0.196035513993916,-0.421417338856996,0.205138289211196,-0.0436194694928739,-0.0892627566999763,-0.153125761844733
2018-12-07,0.227642055389279,-0.293933548956155,0.169565750732591,-0.119688594357068,-0.0892627566999763,-0.105677093891329
2018-12-10,0.246435134056792,-0.189396841237465,0.17685227891548,-0.0336502438218976,-0.0892627566999763,0.110977571212933
2018-12-11,0.238747056420082,-0.260787763581936,0.167650805686753,-0.0629055282097708,0.0157360219777816,0.0984405922929099
2018-12-12,0.242163979814175,-0.347476740714508,0.170068829515819,0.12773533992222,0.0537667229579078,0.246258131495614
2018-12-13,0.205432053327673,-0.37042382289666,0.151081662535907,0.0301513028069198,0.0873678528390272,0.103609048612867
2018-12-14,0.192618590599823,-0.319430306936323,0.135729645473515,0.126696127922083,-0.0049292538455311,0.130684803213567
2018-12-17,0.187493205508683,-0.260787763581936,0.119549982670975,-0.0316140790116718,-0.0429599548256573,-0.0283186092396075
2018-12-18,0.20201512993358,-0.272720246316655,0.110251139355171,-0.0270376358652516,-0.0765610847067767,-0.0640526975999323
2018-12-19,0.190055898054253,-0.23702478514442,0.0909718621140291,-0.187330154444682,-0.0892627566999763,-0.232589936120795
2018-12-20,0.162720510901507,-0.231925433548386,0.0625560250355446,-0.202008870096536,-0.0725584055466966,-0.281216173254567
2018-12-21,0.157595125810367,-0.235291005601768,0.0426276138805592,-0.124929908123455,-0.0388948046976151,-0.198892978731911
2018-12-24,0.152469740719227,-0.327079334330374,0.0339779044785991,-0.0836415289085803,-0.0388948046976151,-0.263168022738743
2018-12-25,0.153323971567751,-0.408668959866912,0.0370775189172002,-0.0854958322304398,-0.0555991558508948,-0.359362457463296
2018-12-26,0.143927432233994,-0.474960530615349,0.0373696291784296,-0.130294685947866,-0.0892627566999763,-0.513220911850767
2018-12-27,0.163574741750031,-0.4979076127975,0.0378564796138121,-0.0870727821772105,-0.0892627566999763,-0.472811930310845
2018-12-28,0.17126281938674,-0.452013448433198,0.0369639204822777,-0.0280475221043609,-0.0892627566999763,-0.361096987368517
2018-12-31,0.175533973629357,-0.457112800029231,0.0359577629158209,-0.0366442961835875,-0.0892627566999763,-0.371528116367617
2019-01-02,0.203723591630626,-0.362774795502609,0.0387165820496544,0.103322554023898,-0.0892627566999763,-0.106274824498407
