"Date","Predictions","Actual"
2020-03-17,0.195481945901903,1.17764199437607
2020-03-18,0.271354672253775,-2.306099643814
2020-03-19,-0.546995158703004,-0.743579349544243
2020-03-20,1.07275478613316,2.37307441165537
2020-03-23,-1.31760040235855,-3.20740679700018
2020-03-24,1.41663613336497,3.94703996632726
2020-03-25,1.91675078679393,1.38060498025339
2020-03-26,0.224575806372265,-0.115816854647766
2020-03-27,0.787119232146753,0.33464226469857
2020-03-30,-0.105616189618248,-0.213355931526371
2020-03-31,0.734966434669021,1.38453040706812
2020-04-01,0.033785712258189,-1.51475212259735
2020-04-02,-0.245265365760546,0.744624832449592
2020-04-03,0.283819664607959,0.11527090338066
2020-04-06,0.964754505107837,1.60404035125274
2020-04-07,1.32090397887703,1.19792165035881
