date,Number
15/10/2017,7606.880545
18/10/2017,7591.412221
18/10/2017,7568.209736
22/10/2017,7593.345762
21/10/2017,7568.209736
26/10/2017,7642.9733
24/10/2017,7606.880545
24/10/2017,7583.678059
29/10/2017,7671.331893
01/11/2017,7720.314917
30/10/2017,7691.956324
04/11/2017,7746.095457
03/11/2017,7722.892971
05/11/2017,7784.766266
07/11/2017,7815.702913
09/11/2017,7885.310369
10/11/2017,7926.559232
13/11/2017,7916.247016
15/11/2017,7881.443288
15/11/2017,7854.373722
18/11/2017,7838.905398
21/11/2017,7846.63956
23/11/2017,7877.576207
26/11/2017,7936.871447
26/11/2017,7904.645773
28/11/2017,7997.455715
26/11/2017,7962.651987
30/11/2017,8045.794226
01/12/2017,8086.398575
02/12/2017,8117.335222
03/12/2017,8179.208516
02/12/2017,8156.006031
06/12/2017,8262.350755
05/12/2017,8225.613487
05/12/2017,8202.411002
07/12/2017,8302.955105
08/12/2017,8366.761939
08/12/2017,8330.024671
11/12/2017,8399.632127
13/12/2017,8426.701693
16/12/2017,8434.435855
18/12/2017,8550.448282
18/12/2017,8511.777473
18/12/2017,8484.707906
19/12/2017,8658.726546
19/12/2017,8620.055738
19/12/2017,8589.11909
21/12/2017,8790.207297
21/12/2017,8751.536488
21/12/2017,8720.599841
21/12/2017,8697.397355
23/12/2017,8859.814753
22/12/2017,8828.878106
23/12/2017,8805.67562
27/12/2017,8859.814753
30/12/2017,8852.080591
01/01/2018,8828.878106
01/01/2018,8797.941458
01/01/2018,8767.004811
01/01/2018,8736.068164
02/01/2018,8705.131517
02/01/2018,8674.19487
02/01/2018,8643.258223
02/01/2018,8616.188657
04/01/2018,8581.384929
04/01/2018,8550.448282
04/01/2018,8519.511634
04/01/2018,8492.442068
05/01/2018,8457.63834
05/01/2018,8418.967531
05/01/2018,8395.765046
08/01/2018,8364.828399
12/01/2018,8362.250345
15/01/2018,8341.625914
16/01/2018,8302.955105
18/01/2018,8279.752619
19/01/2018,8233.347649
21/01/2018,8207.567109
25/01/2018,8210.145163
29/01/2018,8215.301271
01/02/2018,8248.815972
31/01/2018,8217.879325
04/02/2018,8277.174565
05/02/2018,8336.469806
04/02/2018,8302.955105
06/02/2018,8367.406453
07/02/2018,8429.279747
07/02/2018,8395.765046
10/02/2018,8452.482232
11/02/2018,8430.568774
13/02/2018,8403.499208
16/02/2018,8372.562561
18/02/2018,8416.389477
18/02/2018,8349.360075
18/02/2018,8380.296722
21/02/2018,8496.309149
20/02/2018,8457.63834
22/02/2018,8569.783686
21/02/2018,8527.245796
23/02/2018,8638.102115
23/02/2018,8609.743522
26/02/2018,8604.587414
27/02/2018,8581.384929
27/02/2018,8550.448282
28/02/2018,8519.511634
01/03/2018,8496.309149
03/03/2018,8446.037098
05/03/2018,8411.23337
04/03/2018,8372.562561
05/03/2018,8353.227156
06/03/2018,8326.15759
06/03/2018,8292.642889
07/03/2018,8256.550134
09/03/2018,8228.191541
09/03/2018,8194.67684
10/03/2018,8163.740193
11/03/2018,8135.3816
12/03/2018,8101.866899
12/03/2018,8076.086359
15/03/2018,8034.837496
15/03/2018,8016.791119
16/03/2018,7980.698364
17/03/2018,7947.183663
18/03/2018,7918.82507
21/03/2018,7885.310369
21/03/2018,7858.240803
24/03/2018,7833.74929
27/03/2018,7860.174343
31/03/2018,7880.154261
03/04/2018,7880.154261
07/04/2018,7864.685937
07/04/2018,7831.171236
07/04/2018,7800.234589
08/04/2018,7780.899185
09/04/2018,7753.829619
09/04/2018,7722.892971
11/04/2018,7695.823405
12/04/2018,7640.395246
12/04/2018,7606.880545
12/04/2018,7579.810979
14/04/2018,7545.007251
14/04/2018,7514.070603
14/04/2018,7487.001037
15/04/2018,7452.197309
15/04/2018,7421.260662
17/04/2018,7392.902069
17/04/2018,7359.387368
18/04/2018,7328.450721
19/04/2018,7292.357966
20/04/2018,7258.843265
20/04/2018,7233.062725
24/04/2018,7235.640779
28/04/2018,7235.640779
01/05/2018,7251.109103
30/04/2018,7227.906618
04/05/2018,7301.381155
05/05/2018,7328.450721
08/05/2018,7380.656313
06/05/2018,7351.653206
11/05/2018,7447.041201
10/05/2018,7413.5265
14/05/2018,7467.665633
14/05/2018,7436.728986
15/05/2018,7405.792339
16/05/2018,7369.699584
16/05/2018,7336.184883
17/05/2018,7305.248235
18/05/2018,7266.577427
19/05/2018,7235.640779
21/05/2018,7204.704132
22/05/2018,7173.767485
26/05/2018,7122.206407
27/05/2018,7088.691706
29/05/2018,7150.565
28/05/2018,7119.628353
30/05/2018,7225.973077
29/05/2018,7189.235809
31/05/2018,7266.577427
02/06/2018,7330.384261
01/06/2018,7293.646993
04/06/2018,7359.387368
06/06/2018,7336.184883
07/06/2018,7359.387368
09/06/2018,7336.184883
12/06/2018,7320.716559
13/06/2018,7294.93602
16/06/2018,7284.623804
19/06/2018,7305.248235
22/06/2018,7386.456934
25/06/2018,7431.572878
29/06/2018,7439.30704
02/07/2018,7452.197309
06/07/2018,7452.197309
10/07/2018,7457.997931
13/07/2018,7471.532714
15/07/2018,7504.402901
18/07/2018,7521.804765
22/07/2018,7581.100005
25/07/2018,7641.684273
24/07/2018,7614.614707
28/07/2018,7666.175785
31/07/2018,7641.684273
01/08/2018,7603.013464
03/08/2018,7583.678059
05/08/2018,7529.538927
06/08/2018,7502.469361
07/08/2018,7467.665633
07/08/2018,7444.463147
09/08/2018,7398.058177
11/08/2018,7367.12153
11/08/2018,7343.919044
13/08/2018,7328.450721
14/08/2018,7305.248235
15/08/2018,7274.311588
18/08/2018,7243.374941
20/08/2018,7258.843265
22/08/2018,7305.248235
23/08/2018,7347.786125
27/08/2018,7405.792339
28/08/2018,7440.596067
29/08/2018,7467.665633
30/08/2018,7490.868118
31/08/2018,7521.804765
02/09/2018,7550.163358
06/09/2018,7552.741412
09/09/2018,7525.671846
11/09/2018,7490.868118
13/09/2018,7459.931471
15/09/2018,7418.682608
18/09/2018,7436.728986
17/09/2018,7413.5265
21/09/2018,7471.532714
23/09/2018,7502.469361
26/09/2018,7533.406008
28/09/2018,7566.276195
02/10/2018,7570.78779
03/10/2018,7552.741412
06/10/2018,7548.874331
08/10/2018,7521.804765
09/10/2018,7490.868118
10/10/2018,7440.596067
10/10/2018,7467.665633
11/10/2018,7405.792339
13/10/2018,7380.011799
16/10/2018,7392.902069
15/10/2018,7367.12153
19/10/2018,7416.104554
21/10/2018,7439.30704
22/10/2018,7467.665633
26/10/2018,7498.60228
28/10/2018,7519.871225
31/10/2018,7529.538927
31/10/2018,7506.336442
03/11/2018,7537.273089
02/11/2018,7506.336442
06/11/2018,7566.276195
10/11/2018,7591.412221
08/11/2018,7568.209736
13/11/2018,7586.256113
15/11/2018,7565.631682
19/11/2018,7575.943898
18/11/2018,7552.741412
21/11/2018,7591.412221
23/11/2018,7641.684273
22/11/2018,7614.614707
25/11/2018,7676.488001
27/11/2018,7707.424648
29/11/2018,7742.228376
30/11/2018,7780.899185
03/12/2018,7805.390697
06/12/2018,7797.656535
05/12/2018,7784.766266
10/12/2018,7823.437075
10/12/2018,7788.633347
11/12/2018,7885.310369
11/12/2018,7850.506641
13/12/2018,7951.050744
13/12/2018,7916.247016
15/12/2018,8009.056957
15/12/2018,7980.698364
18/12/2018,7985.854472
19/12/2018,7962.651987
21/12/2018,7937.515961
23/12/2018,7962.651987
24/12/2018,8009.056957
25/12/2018,8132.803546
25/12/2018,8101.866899
26/12/2018,8058.039982
25/12/2018,8032.259443
27/12/2018,8225.613487
27/12/2018,8194.67684
27/12/2018,8163.740193
28/12/2018,8349.360075
28/12/2018,8318.423428
28/12/2018,8287.486781
28/12/2018,8260.417215
01/01/2019,8344.203968
02/01/2019,8318.423428
05/01/2019,8302.955105
07/01/2019,8275.885538
10/01/2019,8244.948891
12/01/2019,8220.457379
14/01/2019,8244.948891
17/01/2019,8273.951998
19/01/2019,8287.486781
21/01/2019,8310.689266
22/01/2019,8337.758833
24/01/2019,8368.69548
